,Scope,Функціонал /Блок,Епік,Модуль,Вимога,Важливість,Покриття вимоги,Пропозиція по рішенню,Оцінка БА (год),Оцінка Розробників (год),Use Case,Коментарі(Деталі GAP та ризики),Статус реалізації,MVP - Stage 1 - Stage 2 - Нові потреби - Не потрібно - Зміна потреб,Примітки БА,Примітки щодо реалізації з моделем Appoitments,Коментарі та побажання замовника
,3. Управління Клієнтами (CRM),Програма лояльності (Бонуси),Програма лояльності,"point_of_sale, ","Обробка альтернативних потоків (недостатньо бонусів, порушення обмежень).",Критично,Розробка,"Кастомізувати інтерфейс POS, щоб він міг інтерактивно реагувати на дії користувача: показувати спливаючі повідомлення про помилки, автоматично коригувати введену суму до максимально можливої. (ризики на роботу з js pos)",3,20,UC-FR6.1.6.2,GAP: Стандартний інтерфейс POS не має такої інтерактивності для кастомних методів оплати.,Є на деві,MVP,,,
,3. Управління Клієнтами (CRM),Програма лояльності (Бонуси),Програма лояльності,"point_of_sale, termi_operations, sale",Можливість використовувати бонуси та депозит як метод оплати в Point of Sale.,Критично,Розробка,"Розробка ""з нуля"". 1. Створити новий метод оплати ""Бонуси"" в налаштуваннях POS. 2. Розробити кастомну логіку для цього методу, яка буде взаємодіяти з бонусним балансом клієнта, а не зі стандартним бухгалтерським журналом. ",5,24,"UC-FR6.1.6.2, UC-FR6.1.5","GAP: Стандартний функціонал Odoo не дозволяє створити метод оплати, прив'язаний до віртуального бонусного рахунку. Це потребує значної кастомізації інтерфейсу та логіки POS.",Є на деві,MVP,Доданий як Discount Bonuses,,
,3. Управління Клієнтами (CRM),Програма лояльності (Бонуси),Програма лояльності,,Автоматичний перехід клієнта на вищий рівень при досягненні порогу покупок.,Критично,Розробка,"Розробка ""з нуля"".
1. Створити модель loyalty.level (Назва, Поріг суми, % бонусу).2. Додати поле loyalty_level_id на картку клієнта (res.partner).
3. Розширити логіку закриття замовлення: після оплати перераховувати загальну суму покупок клієнта і порівнювати її з порогами рівнів для автоматичного оновлення.Або, щоб зменшити час на розробку придбати та налаштувати модуль https://apps.odoo.com/apps/modules/18.0/bi_loyalty_generic_advance ",2,16,UC-FR6.1.6.3,"GAP: Odoo не має концепції рівнів лояльності та автоматичного ""level-up"".

Ризик: Якщо логіка перерахунку буде працювати некоректно або не враховуватиме повернення, клієнти можуть отримати незаслужене підвищення рівня.",Є на деві,MVP,,,
,3. Управління Клієнтами (CRM),Програма лояльності (Бонуси),Програма лояльності,,Автоматичне списання прострочених бонусів з рахунку клієнта,Дуже важливо,Розробка,Створити крон що буде списувати прострочені бонуси,3,10,,,Є на деві,MVP,,,
,3. Управління Клієнтами (CRM),Програма лояльності (Бонуси),Програма лояльності,sale_loyalty,Інтерфейс для налаштування всіх правил бонусної системи.,Критично,Кастомізація,Допрацювати стандартний модуль лояльності для гнучкого налаштування бонусної системи,2,12,UC-FR6.1.6.**,GAP: Додати можливість налаштування усіх доданих кастомних параметрів(не окрема задача  ачас на кастомізацію інтерейсу),Є на деві,MVP,,,
,4. Продажі та Ціноутворення,Ціноутворення та Знижки,Ціноутворення / Знижки,sale_loyalty,"Створення багаторівневої системи нарахування бонусів з порогами витрачених сум (напр. 5000 грн = 5%, 10000 грн = 7%).",Критично,Кастомізація,Кастомізувати стандартний модуль лояльності додавши правила застосування нарахування бонусів відповідно до loyalty_level_id res.partner при створенні pos_order_line(sale_order_line),2,8,UC-FR6.1.7.1,"GAP: Немає стандартного механізму для створення ""рівнів"" знижок, які б залежали від суми покупок.",Є на деві,MVP,,,
,4. Продажі та Ціноутворення,Ціноутворення та Знижки,Ціноутворення / Знижки,"sale, product","Налаштування правил знижок для товарів/категорій та управління пріоритетами (конфлікти, винятки).",Критично,Стандартний функціонал,"Використовувати стандартний функціонал ""Прайс-листи"" (Sales -> Products -> Pricelists). Він дозволяє створювати правила на основі товарів, категорій, встановлювати пріоритет (послідовність) та винятки.",4,0,UC-FR6.1.7.1,"Стандартний, дуже гнучкий інструмент Odoo. Ризик: Конфігураційний. Створення занадто складної та заплутаної логіки прайс-листів може призвести до помилок у ціноутворенні. Ризик мінімізується ретельним проєктуванням структури прайс-листів та навчанням персоналу.",Не реалізовано,MVP,,,
,4. Продажі та Ціноутворення,Ціноутворення та Знижки,Ціноутворення / Знижки,"sale, product, hr",Автоматичне застосування спеціальних корпоративних знижок для співробітників.,Критично,Стандартний функціонал,Налаштувати ще одну програму лояльності з різними умовами знижки на послуги та продукти,3,0,UC-FR6.1.7.2,"Це ідеальний приклад для стандартного функціоналу ""Прайс-листи"". Odoo автоматично пов'язує картку співробітника (hr.employee) з його контактом (res.partner), тому система завжди знає, хто є хто. Як тільки прайс-лист призначений, знижки застосовуються автоматично до всіх замовлень цього клієнта.",Не реалізовано,MVP,,,
,4. Продажі та Ціноутворення,Ціноутворення та Знижки,Ціноутворення / Знижки,"product, sale, pos",Застосування знижок на основі активного прайс-листа та суми покупки (кількості товару).,Критично,Кастомізація,"Стандартні ""Прайс-листи"" дозволяють створювати правила, які спрацьовують при покупці певної кількості товару.",2,,UC-FR6.1.7.3,"GAP: Стандартний функціонал не дозволяє створювати правила на основі загальної суми замовлення (напр., ""знижка 5% при покупці на суму понад 1000 грн""). Це ключовий розрив.

Рішення: Потрібна розробка, яка розширить логіку прайс-листів, додавши можливість вказувати мінімальну суму замовлення як умову.",Не реалізовано,MVP,,,
,4. Продажі та Ціноутворення,Ціноутворення та Знижки,Ціноутворення / Знижки,"product, sale, pos",Застосування знижок на основі часу доби та дня тижня. Застосування знижок відповідно до категорій клієнтів,Бажано,Кастомізація,"Стандартні прайс-листи мають поля ""Дата початку"" та ""Дата завершення"". Це дозволяє створювати акції типу ""Щасливі години з 14:00 до 17:00 сьогодні"". Потрібно додати регулярні повторення прайслістів",2,10,UC-FR6.1.7.3,"GAP: Немає можливості створювати регулярні, повторювані правила (напр., ""знижка 20% щовівторка"" або ""щодня з 9:00 до 12:00""). Кожну таку акцію доведеться створювати вручну на конкретну дату.

Рішення: Потрібна значна розробка, яка додасть до правил прайс-листа поля для вибору днів тижня та часових проміжків для автоматичного повторення.",Не реалізовано,Nice to have,,,
,4. Продажі та Ціноутворення,Подарункові сертифікати,Управління сертифікатами,sale_loyalty,"Повний життєвий цикл подарункових сертифікатів: продаж, генерація коду, перевірка балансу, повне/часткове погашення.",Критично,Кастомізація,відсутній функціонал вибору суми погашення при використанні купонів або e-Wallet,6,68,UC-FR6.1.8,відсутній функціонал вибору суми погашення при використанні купонів або e-Wallet,Базовий функціонал,MVP,,,
,4. Продажі та Ціноутворення,Подарункові сертифікати,Управління сертифікатами,sale_loyalty,Реалізувати можливість переводу грошей між сертифікатами та депозитним рахунком клієнта,Критично,Кастомізація,Надати можливість переводити кошти між e-wallet та гіфт картками. Зробити журнал транзакцій?,3,30,,Відсутній функціонал.,Є на деві,MVP,,,
,7. Клієнтський портал,Функціонал кабінету,Кабінет клієнта,"portal, sale",Перегляд профілю та історії покупок/рахунків.,Бажано,Стандартний функціонал,"Стандартний портал Odoo вже має розділи /my/account (Профіль), /my/orders (Замовлення), /my/invoices (Рахунки).","0,5",0,UC-FR6.1.10,Це базовий функціонал порталу.,Частково закрито,MVP,,,
,7. Клієнтський портал,Доступ та Профіль,Доступ до порталу,"portal, website, auth_signup",Реєстрація та авторизація клієнта через email/пароль. Відновлення пароля.,Бажано,Стандартний функціонал,Використовувати стандартний функціонал порталу Odoo.,1,,UC-FR6.1.10,Стандартний механізм Odoo.,Базовий функціонал,MVP,,,
,7. Клієнтський портал,Доступ та Профіль,Доступ до порталу,termi_portal ,Авторизація/реєстрація за номером телефону з підтвердженням по SMS.,Критично,Розробка,"1. Потрібна інтеграція з SMS-шлюзом.2. Потрібна розробка кастомної логіки для заміни стандартного входу по email на вхід по телефону. Або, щоб зменшити час на розробку придбати та налаштувати модуль https://apps.odoo.com/apps/modules/18.0/bi_phone_signup , перевірити якщо юзера змінити з інтернал на портального чи коректно працює ця вся логіка. Якщо так, то спитати розробниців цього модуля чи можуть вони для нашого клієнта внести зміни в модуль щоб створювався портальний юзер замість інтернал",3,24,UC-FR6.1.10,GAP: Стандартний вхід в Odoo — по email. Вхід по телефону — це значна кастомізація.,Не реалізовано,MVP,,,
,7. Клієнтський портал,Функціонал кабінету,Кабінет клієнта,termi_portal ,"Перегляд балансів (депозит, бонуси) та історії кастомних операцій (візити, нарахування).",Бажано,Розробка,"Розробка ""з нуля"". Створити нові сторінки на порталі, які будуть звертатись до наших кастомних моделей (appointments, gift.certificate, loyalty.bonus тощо) та відображати дані з них у зручному для клієнта вигляді.",8,24,UC-FR6.1.10,"GAP: Портал не знає про існування наших кастомних сутностей. Потрібно розробити для нього ""вікна"" для перегляду цих даних.Ризик: Потрібно ретельно налаштувати права доступу, щоб клієнт бачив тільки свої дані.",Не реалізовано,MVP,,,
,7. Клієнтський портал,Функціонал кабінету,Кабінет клієнта,termi_portal ,Перегляд та завантаження фіскальних чеків.,Бажано,Розробка,"Це складна задача.1. Модуль фіскалізації має зберігати кожен чек (PDF/JSON/посилання) та прив'язувати його до замовлення.2. Потрібно розробити сторінку на порталі, яка буде відображати список цих чеків та дозволяти їх завантажувати.",2,16,UC-FR6.1.10,GAP: Odoo не зберігає фіскальні чеки у зручному для клієнта вигляді. Це частина модуля інтеграції з Checkbox,Не реалізовано,MVP,,,
,8. Продажі та ЗЩЫ,Тарифікація та Білінг,Продажі та Point of Sale (POS),"еукьш_щзукфешщты , зщште_ща_ыфду",Розробка механізму похвилинної тарифікації для часових зон зі складними правилами. Продаж послуг з похвилинною/погодинною тарифікацією,Критично,Розробка,"Розробка ""з нуля"". Потрібно створити окремий модуль, що буде використовувати дані з AСКД для того щоб вираховувати час надання пошуку та розробити логіку тарифікації. Це включає створення моделей для правил тарифікації, розробку алгоритму розрахунку та інтеграцію з даними від АСКД для виставлення рахунку.
Для послуг з погодинною/похвилинною тарифікацією",6,40,"UC-FR6.3.9, UC-FR6.3.8","ПФЗЖ Критичний і найбільший функціональний розрив. Щвщщ Сщььгтшен не має абсолютно ніякого вбудованого механізму для автоматичного розрахунку вартості послуг на основі тривалості перебування та складних, умовних правил тарифікації. Це вимагає створення повноцінного нового модуля.  Ризик:  1. Складність логіки: Правила тарифікації можуть бути дуже складними. Помилка в алгоритмі розрахунку призведе до прямих фінансових втрат або конфліктів з клієнтами. Потрібно ретельне тестування всіх можливих сценаріїв. 2. Надійність інтеграції з АСКД: Робота всього механізму залежить від стабільної та коректної передачі даних від сторонньої системи (АСКД). Потрібно заздалегідь вивчити її ФЗШ та можливості. 3. Обробка винятків: Потрібно продумати сценарії ""завислих"" візитів (клієнт зайшов, але не вийшов), ручного коригування часу, збоїв АСКД тощо",Не реалізовано,MVP,,,
,8. Продажі та POS,Облік по юр. особах,Продажі та Point of Sale (POS),"point_of_sale, account",Автоматична прив'язка транзакцій продажу до відповідної юридичної особи.,Критично,Кастомізація,"Додати вью форму в модулі аккаунтинг завдяки якій можна буде вибирати на який ФОП йдуть продажі в POS точках. Розробити логіку перемикання Фопів що будуть представлені як мультикомпанійність

3. Розробити логіку, яка при відкритті нової POS-сесії буде ігнорувати стандартне поле ""Компанія"" в налаштуваннях POS, а натомість шукати запис у новій моделі pos.daily.assignment на поточну дату і динамічно призначати сесії правильну юрособу.",4,16,UC-FR6.3.14,"GAP: Стандартний функціонал передбачає лише статичну прив'язку POS до юрособи. Динамічне щоденне перепризначення — це повністю кастомна вимога.
Ризик: Без цього інструменту щоденна зміна ФОПів буде незручною, вимагатиме надлишкових прав доступу для бухгалтера та може призвести до помилок при ручному редагуванні налаштувань.",Не реалізовано,MVP,,,
,8. Продажі та POS,Продажі та Point of Sale (POS),Управління POS-терміналом,"pos, pos_restaurant","Налаштувати модуль ""Ресторан"" (pos_restaurant) для кафе/бару (карта столів, відправка замовлень на кухню).",Критично,Стандартний функціонал,Налаштування модуля Ресторан для кафе/бару,3,0,UC-FR6.3.15,,Не реалізовано,MVP,,,
,8. Продажі та POS,Операції в POS,Продажі та Point of Sale (POS),"point_of_sale, barcodes","Створення замовлень/рахунків для клієнтів, додавання/редагування позицій (товарів, послуг) та розрахунок суми.",Критично,Стандартний функціонал,"Використовувати стандартний модуль point_of_sale. Його інтерфейс дозволяє:  1. Вибирати існуючого клієнта або проводити анонімний продаж.  2. Додавати товари/послуги з каталогу, за допомогою сканера штрих-кодів (потребує модуля barcodes) або через налаштовані категорії (""швидке меню"").  3. Редагувати кількість та видаляти позиції в чеку до моменту оплати.","0,5",0,UC-FR6.3.1,"GAP: Відсутній. Це основний, базовий функціонал Odoo POS.    Коментарі: Вимога повністю покривається. Основна робота полягатиме не в розробці, а в конфігурації:  Налаштування самої точки продажу (POS-терміналу).  Створення та організація категорій товарів для ""швидкого меню"".  Завантаження штрих-кодів для товарів.  Налаштування прав доступу для адміністраторів рецепції (наприклад, чи можуть вони змінювати ціну або давати ручні знижки на позицію).",Базовий функціонал,MVP,,,
,8. Продажі та POS,Продаж послуг та товарів,Продажі та Point of Sale (POS),"point_of_sale, product, stock","Обробка продажів фізичних товарів (бутіки, кафе).",Критично,Стандартний функціонал,"Використовувати стандартний модуль POS. Для товарів в каталозі (product.product) встановити тип ""Товар, що зберігається"" (Storable Product). Продаж здійснюється через стандартний інтерфейс POS шляхом вибору з каталогу або сканування штрих-коду.","0,5",0,UC-FR6.3.10,"GAP: Відсутній. Це основна, передбачена функція Odoo POS. Вся робота полягає в налаштуванні каталогу товарів, цін та інтерфейсу POS (категорії для швидкого доступу).",Базовий функціонал,MVP,,,
,8. Продажі та POS,Абонементи,Продажі та Point of Sale (POS),"termi_operations , sale, point_of_sale","Повний життєвий цикл абонементів: продаж, активація, відстеження терміну/використання, перевірка статусу.",Критично,Розробка,"Розробити новий тип програми лояльності ""Абонемент"":
1. Додати логіку на багатокількісне використання нагород, якщо їх декілька та логіку відслідковування вже наданих товарів.",4,20,UC-FR6.3.11,"GAP: Стандартний модуль лояльності не призначений для управління візитами/доступами, а лише для знижок/подарунків.
Ризик/Компроміс: Цей підхід значно простіший і дешевший у розробці, ніж створення окремого модуля ""Абонементи"". Однак, він менш прозорий для звітності (в системі це буде виглядати як набір ""купонів"", а не як єдиний абонемент), що може ускладнити аналітику.",Базовий функціонал,Зміна вимог,"Реалізовано через Gift Card, не потрібно нічого зверху, просто картка з певною сумою на ній.",,
,8. Продажі та POS,Відкритий рахунок (таб),Продажі та Point of Sale (POS),"point_of_sale, account, termi_pos_tab_module ","Підтримка продажів ""на рахунок"" з використанням ідентифікаторів (браслетів) та їх фінальна оплата при виході.",Критично,Розробка,"Рішення: Розробити логіку ""відкритого табу"" або ""рахунку візиту"".    1. Створити модель appointment_visit: Ця модель буде представляти ""візит"" клієнта, мати статус (Відкритий/Закритий) і зв'язок One2many з усіма POS-замовленнями, зробленими під час цього візиту.    2. Кастомізувати POS:    Створити новий метод оплати ""Додати до рахунку візиту"". Він буде використовувати стандартний механізм ""Рахунок клієнта"", але додатково прив'язувати POS-замовлення до активного візиту appointment_visit.    Для каси на виході розробити новий флоу: кнопка ""Розрахувати клієнта"". Після сканування ідентифікатора система знаходить активний візит клієнта, автоматично збирає суми з усіх пов'язаних замовлень і виводить єдину фінальну суму до оплати.    3. Оплата: Клієнт оплачує фінальну суму стандартними методами (готівка/картка). Після успішної оплати система закриває всі пов'язані борги та змінює статус візиту на ""Закритий"".",3,24,UC-FR6.3.12,"GAP: Критичний розрив у робочому процесі. Odoo має backend-механізм для продажу в борг (""Рахунок клієнта""), але не має frontend-інтерфейсу та логіки для агрегації кількох таких продажів в єдиний рахунок візиту та його швидкого закриття в POS. Стандартний процес є занадто складним і повільним для рецепції.    Ризик: Складність кастомізації інтерфейсу POS (JS/Owl). Необхідно забезпечити надійність логіки агрегації та закриття боргів, щоб уникнути фінансових помилок. Цей функціонал має бути тісно інтегрований із системою контролю доступу (СКД), щоб не дозволити клієнту вийти, не закривши свій рахунок.",Частково закрито,MVP,Реалізовано через відкритий Appointment. Можна додати товари прямо звідти,Повністю кастомна доробка,
,8. Продажі та POS,Абонементи,Продажі та Point of Sale (POS),"sale, point_of_sale",Налаштування програми лояльності з абонементами для Клініки,Дуже важливо,Кастомізація,Налаштувати програму лояльності з пакетами послуг для клініки на основі створеної програми абонементів,3,,,,Не реалізовано,Nice to have,,,
,8. Продажі та POS,Друк на кухню/бар,Продажі та Point of Sale (POS),"point_of_sale, iot",Друк замовлень на кухонні/барні принтери на основі категорій товарів.,Дуже важливо,Стандартний функціонал,Доступний друк через IoT box або Epson принтер.,2,0,UC-FR6.3.15,Стандартний функціонал Odoo.,Базовий функціонал,MVP,,,
,8. Продажі та POS,Оплати в POS,Продажі та Point of Sale (POS),point_of_sale,Можливість розділяти оплату одного чеку на кілька методів (комбінована оплата).,Критично,Стандартний функціонал,"Використовувати стандартний механізм розділених платежів (split tenders). Користувач може обрати один метод, ввести суму, і система запропонує оплатити залишок іншим методом.",0,0,UC-FR6.3.3,"Стандартна поведінка POS-інтерфейсу, яка не потребує жодних доробок.",Базовий функціонал,MVP,,,
,8. Продажі та POS,Оплати в POS,Продажі та Point of Sale (POS),"point_of_sale, account","Прийом стандартних видів оплат (готівка, банківська картка без інтеграції) та розрахунок решти.",Критично,Стандартний функціонал,"Налаштувати стандартні ""Методи оплати"" (Payment Methods). Для готівки створити касовий журнал, для карток - банківський. Система автоматично розраховує решту для готівки.","1,5",0,UC-FR6.3.3,"Це базовий функціонал Odoo POS. Не потребує розробки. Примітка: ""Банківська картка"" тут означає ручне підтвердження, коли касир проводить оплату на окремому терміналі. Інтеграція розглядається в UC-FR6.3.4.",Базовий функціонал,MVP,,,
,8. Продажі та POS,Фіналізація замовлення,Продажі та Point of Sale (POS),"point_of_sale, stock, mrp",Фіналізація POS-замовлення з автоматичним списанням запасів (товарів та інгредієнтів за рецептурами).,Критично,Стандартний функціонал,"Рішення (конфігурація):  1. При підтвердженні оплати в POS (pos.order) система автоматично генерує складські операції.  2. Для звичайних товарів: Списується сам товар зі складу POS.  3. Для страв/послуг з рецептурами: Необхідно встановити модуль mrp та створити Специфікацію (BoM) з типом ""Набір"" (Kit). При продажу такого товару система автоматично спише його компоненти (інгредієнти) зі складу згідно з рецептурою.",5,0,"UC-FR6.3.7, UC-FR6.4.9","GAP: Відсутній. Це стандартна, хоча і багатокомпонентна, поведінка Odoo, яка потребує правильного налаштування модулів point_of_sale, stock та mrp.    Ризик: Основний ризик не технічний, а операційний — точність даних. Неправильно створені рецептури (Специфікації) призведуть до некоректного списання і, як наслідок, до невірних залишків на складі. Потрібно приділити велику увагу процесу створення та підтримки калькуляційних карт.",Базовий функціонал,MVP,,,
,8. Продажі та POS,Продаж послуг та товарів,Продажі та Point of Sale (POS),"point_of_sale, product, termi_operations ",Продаж послуг з фіксованою ціною та послуг з похвилинною/погодинною тарифікацією.,Критично,Кастомізація,Для послуг з фіксованою ціною використовувати стандартний функціонал. Створити в каталозі товари типу 'Послуга' (Service) з фіксованою ціною та продавати їх через POS. Для послуг з похвилинною/погодинною тарифікацією використовується кастомний модуль.,0,20,UC-FR6.3.9,Тоді функціонал з кастомізацією,Частково закрито,MVP,Блокер - послуги з похвилинною - погодинною тарифікацією,,
,9. Склад та Логістика (WMS),Структура складу,Управління складами,stock,"Створення та управління ієрархічною структурою фізичних локацій зберігання запасів (головний склад, бар, масажні кабінети тощо).",Критично,Стандартний функціонал,"Використовувати стандартний модуль stock.  1. Створити високорівневі Склади (stock.warehouse) для кожної основної фізичної будівлі.  2. Всередині кожного складу використовувати Локації (stock.location), які мають ієрархічну структуру. За допомогою поля ""Батьківська локація"" можна створити будь-який рівень вкладеності (напр., Склад -> Зона -> Стелаж -> Поличка).",2,0,UC-FR6.4.1,"GAP: Відсутній.    Коментарі: Це фундаментальний функціонал Odoo. Вся робота полягає в правильній початковій конфігурації та проєктуванні складської структури.    Ризик: Основний ризик не технічний, а концептуальний. Неправильне проєктування ієрархії складів та локацій на старті може ускладнити логістичні процеси (внутрішні переміщення) та отримання коректної аналітичної звітності в майбутньому.",Базовий функціонал,MVP,,,
,9. Склад та Логістика (WMS),Виробництво (Рецептури),Управління складами / Виробництво,"mrp, stock","Управління специфічними сценаріями виробництва та обробки (розкомплектація, побічні продукти).",Дуже важливо,Стандартний функціонал,"Рішення (конфігурація):  1. Для розкомплектації: Використовувати стандартний документ ""Замовлення на розкомплектацію"" (Unbuild Order), який на основі Специфікації (BoM) продукту повертає його компоненти на склад.  2. Для отримання побічних продуктів/відходів: Налаштувати Специфікацію (BoM), вказавши у відповідній вкладці побічні продукти. Операція виконується через стандартне ""Виробниче замовлення"" (Manufacturing Order).",2,0,UC-FR6.4.10,"GAP: Відсутній. Обидва сценарії покриваються стандартними інструментами модуля mrp.    Ризики:  1. Операційна складність: Процес вимагає більшої кваліфікації користувачів, ніж стандартні складські операції. Потрібне детальне навчання.  2. Розрахунок собівартості: Необхідно чітко визначити та налаштувати правила розподілу вартості сировини на основний та побічні продукти, оскільки стандартна логіка може не відповідати всім бізнес-вимогам.",Базовий функціонал,MVP,,,
,9. Склад та Логістика (WMS),Облік партій та термінів,Управління складами,stock,Зберігання та відстеження термінів придатності для партій товарів.,Критично,Стандартний функціонал,"Рішення (конфігурація):  1. На картках відповідних товарів увімкнути відстеження ""За партіями"" (By Lots).  2. У налаштуваннях складу увімкнути функцію ""Терміни придатності"" (Expiration Dates).  3. При надходженні товару система вимагатиме вказати номер партії та дату придатності.",1,0,UC-FR6.4.11,"GAP: Відсутній. Це базовий функціонал модуля stock.    Ризик: Операційний, ризик даних. Якщо персонал при прийманні товару не буде вказувати або вказуватиме невірно терміни придатності, вся система відстеження втратить сенс. Потрібні чіткі інструкції та контроль.",Базовий функціонал,MVP,,,
,9. Склад та Логістика (WMS),Облік партій та термінів,Управління складами / Звітність,"stock, mail","Формування звітів та отримання автоматичних сповіщень про товари, термін придатності яких закінчується.",Дуже важливо,Кастомізація,"1. Звіти (стандартно): Використовувати стандартні фільтри в меню ""Партії/Серійні номери"".  2. Сповіщення (конфігурація): Налаштувати Автоматичну дію (Scheduled Action), яка щодня перевірятиме партії та автоматично створюватиме Завдання (Activity) для відповідального товарознавця, якщо термін придатності товару наближається.",1,3,UC-FR6.4.11,"GAP: Odoo Community не має проактивних (""push"") сповіщень ""з коробки"", лише пасивні (""pull"") фільтри та звіти.    Рішення: Запропоноване рішення через Автоматичні дії є стандартним ""Odoo-way"" для закриття цього розриву без розробки коду, використовуючи вбудовані інструменти автоматизації.    Ризик: Якщо відповідальний персонал буде ігнорувати створені системою завдання, ефективність сповіщень буде нульовою.",Не реалізовано,Stage 1,,,
,9. Склад та Логістика (WMS),Автоматизація закупівель,Управління закупівлями / Автоматизація,"stock, purchase",Автоматична генерація пропозицій на закупівлю на основі мінімальних залишків.,Критично,Стандартний функціонал,"Використовувати стандартний механізм ""Правила поповнення"" (Reordering Rules).  1. Для кожного товару налаштовується правило із зазначенням мінімальної та максимальної кількості.  2. Системний планувальник щодня перевіряє залишки.  3. Якщо залишок нижчий за мінімальний, Odoo автоматично створює чернетку Замовлення на закупівлю (RFQ) для постачальника за замовчуванням.  4. Товарознавець переглядає, за потреби коригує та підтверджує ці чернетки.",2,0,UC-FR6.4.12,GAP: Відсутній. Це одна з ключових функцій автоматизації в Odoo.    Коментарі: Для коректної роботи необхідно:  Встановити модуль purchase.  Налаштувати правила поповнення для кожного товару.  Вказати на картках товарів постачальників за замовчуванням та закупівельні ціни.    Ризик: Ризик якості даних. Некоректно налаштовані мінімальні/максимальні рівні або відсутність інформації про постачальника на картці товару призведе до збоїв в автоматизації.,Базовий функціонал,MVP,,,
,9. Склад та Логістика (WMS),Резервування,Управління складами,"stock, sale",Управління резервуванням запасів для клієнтських замовлень.,Дуже важливо,Стандартний функціонал,"Використовувати стандартний механізм, вбудований у зв'язку ""Продаж-Склад"":  1. При підтвердженні Замовлення на продаж (sale.order) система автоматично створює Складське переміщення (stock.picking).  2. Під час створення переміщення система намагається зарезервувати товари, створюючи відповідні записи (stock.move.line).  3. Це зменшує вільний (доступний) залишок товару, роблячи його недоступним для інших замовлень.","0,5",0,UC-FR6.4.13,"GAP: Відсутній. Резервування є невід'ємною частиною стандартного процесу обробки замовлення в Odoo.    Коментар: Основна робота полягає в налаштуванні стратегії резервування (автоматично при підтвердженні чи вручну) та розробці процедур для персоналу на випадок, якщо вільного залишку недостатньо (управління бекордерами).    Ризик: Операційний. Персонал повинен чітко розуміти, як діяти, коли система повідомляє про неможливість зарезервувати товар через його відсутність, щоб уникнути конфліктів з клієнтами.",Базовий функціонал,MVP,,,
